type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
1,2022-05-26 10:17:38+0000,265,0.558035672,0.196811661,995,0.26221336,53.11600494
6,2022-05-26 09:52:18+0000,1150,1.12233448,0.150579736,781,0.624117328,152.1444702
6,2022-05-25 11:06:13+0000,1252,2.079002142,0.350262702,795,0.605928086,155.2057343
1,2022-05-25 10:56:04+0000,241,0.906618297,0.119660161,1426,0.235294118,40.80502319
6,2022-05-25 10:32:55+0000,1056,1.650164962,0.481695563,870,0.575559193,127.3478546
6,2022-05-24 11:58:48+0000,1278,2.145922899,0.414421856,1065,0.669287212,200.5732574
1,2022-05-24 11:54:01+0000,267,0.925069392,0.222717166,456,0.264735265,44.14627457
6,2022-05-24 11:32:03+0000,1094,1.63398695,0.297707647,617,0.538423645,166.6173553
6,2022-05-23 11:51:41+0000,880,2.427184582,0.49140048,1981,0.77092511,118.5256882
1,2022-05-23 11:46:59+0000,267,0.668002665,0.218722656,1999,0.265,50.33335495
6,2022-05-23 11:15:57+0000,1428,5.714285851,0.422654271,863,0.765968867,142.7826843
6,2022-05-22 10:29:03+0000,893,5.464480877,0.315258533,1308,0.725634726,133.1079865
1,2022-05-22 10:22:47+0000,267,0.814995944,0.213629559,1153,0.265,44.0797081
6,2022-05-22 09:58:12+0000,1136,3.448276043,0.21939446,271,0.622734761,138.7963104
6,2022-05-21 13:54:16+0000,1283,2.314814806,0.521376431,1430,0.685026738,197.3519592
1,2022-05-21 13:48:24+0000,287,0.621890545,0.223164469,1907,0.284147557,50.02945709
6,2022-05-21 13:29:18+0000,1051,1.12233448,0.170765027,408,0.576690489,154.5342407
6,2022-05-20 13:12:43+0000,1060,4.219408989,0.346020758,944,0.822843823,108.3383789
6,2022-05-17 11:26:46+0000,2170,7.299270153,0.147775963,200,0.720666667,163.8920593
1,2022-05-17 11:15:00+0000,308,237,0.222691387,1023,0.293,63
6,2022-05-17 10:49:16+0000,1156,1.388888836,0.384467512,1327,0.689552239,105.1035004
6,2022-05-16 11:39:26+0000,1581,2.057613134,0.215424374,1033,0.670353041,249.4513245
1,2022-05-16 11:31:34+0000,302,210,0.210564092,598,0.288,63
6,2022-05-16 11:09:07+0000,1104,0.921658933,0.291290402,1862,0.549850449,122.2747879
6,2022-05-15 11:43:52+0000,2072,4.950494766,0.296823978,1351,0.686918991,231.494278
1,2022-05-15 11:36:24+0000,281,197,0.19742994,1681,0.273,51
6,2022-05-15 11:10:08+0000,1156,1.536098242,0.276548684,728,0.650310209,147.3135223
6,2022-05-14 10:14:43+0000,2418,3.861003876,0.503018081,421,0.768033028,255
6,2022-05-13 11:42:31+0000,1766,4.545454502,0.160153747,1882,0.585519791,184
1,2022-05-13 11:36:23+0000,291,201,0.201460987,1481,0.282999992,55
6,2022-05-13 11:09:15+0000,1183,2.092050314,0.287687004,699,0.591000021,114
6,2022-05-12 11:48:38+0000,780,3.831417561,0.233372241,1411,0.709589064,81
1,2022-05-12 11:36:50+0000,281,178,0.178103358,975,0.277999997,59
6,2022-05-12 11:11:23+0000,1173,3.55871892,0.280662358,758,0.657687962,127
6,2022-05-08 11:29:45+0000,1409,3.048780441,0.398406386,1414,0.637641728,169
1,2022-05-08 11:24:19+0000,287,225,0.222138941,972,0.279000014,56
6,2022-05-08 11:04:02+0000,1044,2.46305418,0.110766508,1584,0.571193874,134
1,2022-05-07 09:47:30+0000,290,212,0.212872133,1349,0.277999997,52
6,2022-05-07 09:19:24+0000,1359,3.533569098,0.461041987,1335,0.677822173,148
6,2022-05-06 10:22:05+0000,689,2.702702761,0.244379282,1177,0.645403385,90
1,2022-05-06 10:16:48+0000,273,0.702247202,0.227583066,434,0.271186441,47
6,2022-05-06 09:51:26+0000,1208,3.496503353,0.292141378,743,0.602500021,116
6,2022-05-05 11:20:47+0000,1924,3.67647028,0.297796309,1974,0.797925293,211
1,2022-05-05 11:15:38+0000,292,0.704225361,0.216029376,1369,0.291000009,52
6,2022-05-05 10:49:44+0000,1494,1.811594248,0.42480883,1189,0.777604163,131
1,2022-05-04 11:52:29+0000,279,0.613496959,0.211193234,1159,0.276067525,42
6,2022-05-04 11:29:10+0000,1123,2.915452003,0.479386389,1784,0.636776388,129
6,2022-05-02 08:04:38+0000,3581,6.849315166,0.386996895,1470,0.701273263,385
6,2022-05-01 11:21:31+0000,1352,2.227171421,0.393700778,1460,0.680100739,146
6,2022-05-01 10:01:23+0000,2045,6.097560883,0.321646839,883,0.946246505,229
1,2022-05-01 09:48:50+0000,283,0.822368443,0.223914012,1544,0.280318081,41
6,2022-05-01 09:26:27+0000,1108,2.941176414,0.267594337,1776,0.635841489,138
1,2022-04-29 11:01:29+0000,495,1.216544986,0.207296848,983,0.297395527,89
6,2022-04-29 10:33:43+0000,1511,4.90196085,0.150761351,992,0.730358899,133
1,2022-04-28 10:37:51+0000,279,0.805153012,0.220994473,1713,0.277445108,50
6,2022-04-28 10:14:07+0000,1183,2.98507452,0.151515156,406,0.611168563,129
1,2022-04-27 11:31:56+0000,270,0.680272102,0.218722656,1229,0.268463075,48
6,2022-04-27 11:12:42+0000,1051,2.590673447,0.382848382,616,0.592550814,152
1,2022-04-26 11:40:21+0000,354,1.114827156,0.199680522,1839,0.293921739,62
6,2022-04-26 11:22:55+0000,950,3.984063864,0.445037842,780,0.666432559,103
6,2022-04-15 09:59:51+0000,616,1.724138021,0.344708711,1005,0.559599638,84
1,2022-04-15 09:54:21+0000,278,0.796812773,0.244021475,1130,0.275621891,39
6,2022-04-15 09:29:11+0000,1160,1.956947207,0.230043709,1418,0.586241782,130
6,2022-04-13 10:58:07+0000,3168,9.009009361,0.046963792,861,0.610447168,285
1,2022-04-13 10:48:11+0000,278,0.763358831,0.203790501,945,0.27700001,44
6,2022-04-13 10:24:05+0000,1109,2.80898881,0.446229368,441,0.650998831,135
6,2022-04-10 11:46:58+0000,592,1.64203608,0.194476843,1458,0.600814641,39
1,2022-04-10 11:41:58+0000,277,0.687285185,0.213720888,1847,0.274353892,45
6,2022-04-10 11:21:30+0000,1016,3.717472315,0.384615391,839,0.596707821,118
6,2022-04-08 11:44:35+0000,1604,3.937007666,0.160720021,1839,0.79950124,77
1,2022-04-08 11:39:28+0000,274,0.670690775,0.231481478,551,0.273000002,51
6,2022-04-08 11:16:43+0000,1144,1.661129594,0.476871759,1127,0.664148748,132
6,2022-04-04 11:02:42+0000,1069,7.751938343,0.191644311,831,0.660074174,151
1,2022-04-04 10:57:56+0000,271,0.711743772,0.224820152,352,0.270000011,48
6,2022-04-04 10:34:57+0000,1338,2.747252703,0.126039833,802,0.747344911,139
1,2022-03-30 11:52:16+0000,285,0.475285143,0.165837467,1488,0.283716291,49
6,2022-03-30 11:21:35+0000,1215,2.645502806,0.25926885,1730,0.643690348,126
1,2022-03-29 12:02:25+0000,303,0.683526993,0.230096623,821,0.301096708,57
6,2022-03-29 11:40:32+0000,1100,1.410437226,0.363504201,1425,0.590445518,123
1,2022-03-28 11:45:13+0000,311,0.638977587,0.214915112,1007,0.296367109,57
6,2022-03-28 11:19:23+0000,1221,3.745318413,0.39808917,275,0.671806157,122
6,2022-03-27 03:36:28+0000,1374,3.311258316,0.536480725,1918,1.447729707,58
6,2022-03-18 11:31:57+0000,764,2.941176414,0.579038799,223,0.763000011,34
1,2022-03-18 11:26:11+0000,282,0.874890625,0.237191647,235,0.279601991,47
6,2022-03-18 11:03:39+0000,1050,4.672897339,0.42589438,1351,0.591319025,70
1,2022-03-05 00:10:22+0000,282,0.615384638,0.208289936,1436,0.279324055,55
6,2022-03-04 23:46:02+0000,1082,4.065040588,0.384172112,1955,0.594609439,127
6,2022-02-16 11:18:13+0000,1294,2.192982435,0.475737393,215,0.694041848,169
1,2022-02-16 11:12:40+0000,284,2.164502144,0.18341893,293,0.282717288,60
6,2022-02-16 10:55:10+0000,865,1.481481433,0.204373583,260,0.50203371,119
1,2022-02-14 11:50:09+0000,287,0.744601607,0.258665293,236,0.28542915,43
6,2022-02-14 11:29:59+0000,933,3.984063864,0.469043165,746,0.628032327,57
6,2022-02-14 11:27:50+0000,51,2.87356329,0.585137486,543,0.694444418,2
6,2022-02-13 11:15:19+0000,957,2.538071156,0.176772133,1869,0.579393923,113
1,2022-02-13 11:09:12+0000,256,0.57603687,0.193986416,1414,0.254999995,37
6,2022-02-13 10:46:00+0000,1087,3.952569246,0.330687851,1003,0.651079118,136
1,2022-02-12 11:25:02+0000,259,0.557103097,0.192826852,406,0.255192876,44
6,2022-02-12 11:00:38+0000,1131,9.523809433,0.442869812,654,0.648105621,137
6,2022-02-11 11:55:30+0000,931,3.184713364,0.564971745,1327,0.901846468,91
1,2022-02-11 11:49:54+0000,264,0.788022041,0.198019788,1657,0.259960145,39
6,2022-02-11 11:16:54+0000,1532,6.410256386,0.585823059,415,0.891608417,140
6,2022-02-06 11:44:52+0000,1373,1.420454502,0.448229492,1832,0.726694942,107
1,2022-02-06 11:36:48+0000,272,0.6361323,0.232450023,1537,0.267522216,34
6,2022-02-06 11:11:41+0000,1173,4.38596487,0.16835016,1212,0.627745032,126
6,2022-02-05 11:51:50+0000,958,3.355704546,0.422832966,1130,0.735588014,101
1,2022-02-05 11:46:47+0000,283,0.691084981,0.22904259,1056,0.280318081,50
6,2022-02-05 11:09:32+0000,1686,4.464285374,0.426439226,1811,0.841238141,173
6,2022-02-04 11:07:36+0000,515,4.291845798,0.578034699,226,0.800623059,58
6,2022-02-03 10:50:22+0000,1222,5.917159557,0.552486181,448,1.017500043,124
1,2022-02-03 10:41:12+0000,265,0.609013438,0.199282572,1115,0.263736278,39
6,2022-02-03 10:07:31+0000,1475,9.090909004,0.304321349,270,0.819799781,138
1,2022-01-13 09:23:16+0000,290,2.341920376,0.198216051,1592,0.287848592,60
1,2022-01-11 10:42:27+0000,590,0.640204847,0.206739724,1863,0.294352829,98
6,2022-01-11 10:40:55+0000,49,2.5445292,0.735835195,649,0.789473712,0
6,2022-01-11 10:39:06+0000,66,8.547008514,0.620732486,540,1.226415038,3
1,2022-01-10 13:39:17+0000,453,7.246376991,0.250062525,1792,0.378673375,71
